episode,mean_reward,std_reward,min_reward,max_reward,mean_length,timestamp
100,1764583816.7190378,-585.7485919987811,0.0,-585.7485919987811,-585.7485919987811,1000.0
100,1764583932.7273889,-365.5521990140513,0.0,-365.5521990140513,-365.5521990140513,1000.0
200,1764583959.778378,-255.56635795637098,2.842170943040401e-14,-255.56635795637095,-255.56635795637095,1000.0
300,1764583989.5042806,-418.328969015469,0.0,-418.328969015469,-418.328969015469,1000.0
400,1764584020.8861105,-328.2027393348086,5.684341886080802e-14,-328.20273933480865,-328.20273933480865,1000.0
500,1764584049.6299226,-211.36145980077896,2.842170943040401e-14,-211.36145980077893,-211.36145980077893,1000.0
600,1764584071.2188513,-611.7711855291448,0.0,-611.7711855291448,-611.7711855291448,1000.0
700,1764584095.054979,-124.66526362808865,1.4210854715202004e-14,-124.66526362808864,-124.66526362808864,1000.0
800,1764584124.1963894,-146.89967106573104,2.842170943040401e-14,-146.899671065731,-146.899671065731,1000.0
900,1764584156.2790992,-181.1995816913738,0.0,-181.1995816913738,-181.1995816913738,1000.0
1000,1764584187.987587,-240.94252139966494,2.842170943040401e-14,-240.9425213996649,-240.9425213996649,1000.0
